五月天巴黎演唱会被指「真唱气息不稳」，如何从专业角度解读？与此前演唱会是否有不同？,gender,comments,likes,updated_time
嗷了一嗓子，玩了老命了。。后面一首歌唱的那叫一个惨不忍睹。。。要是每场都这么来，开不了几场就得歇了。,1,0,0,2023-12-18 07:42:01
只是忘了话筒在哪只手，不算假唱吧？要不你咬我啊,1,0,0,2023-12-15 04:00:23
搞得像这场跑调破音，国内没跑一样 ,-1,0,0,2023-12-15 00:59:06
一个学生之前考试能考90分，后来有人举报他作弊。于是他当着大家的面重做了一套，考了50分来证明自己之前没有作弊。,1,2,2,2023-12-14 01:03:03
我感觉五月天是台独这件事比假唱更严重哎。,1,0,1,2023-12-12 13:25:17
记得那是初中的时候，同学跟我说五月天的歌特别好听，于是周末去网吧通宵的时候百度搜索了五月天，从此走上了不归路,1,1,1,2023-12-12 12:04:50
乐队还要假唱真绝万万没想到这也能塌方。吉他都干脆不接电了是吧。真唱塌房不就是飞轮海，马上单飞开健身房还是直播带货。,1,0,0,2023-12-12 10:42:58
我为偶像的假唱买了单五月天真唱了。没真唱之前，粉丝们哭了。真唱之后，粉丝们哭得更厉害了。粉丝哭的不是买了票听假唱，也不是五月天不承认假唱，而是自己的青春自此破灭了。后青春期里，没有了诗，只剩下了欺骗。一、对于不少80后、90后来说，五月天不仅仅是一个乐队，更是青春的代名词之一。青葱的校园时光，谁的随身听、mp3里没有几首五月天的歌？亦或是年段大汇演，把《倔强》一次次推选成为班歌，整整齐齐站在校舞台上高唱着“我和我最后的倔强”。二十年过去，当年那群唱着《倔强》的少年，早已过了而立之年。在工作、生活、情感等多重压力下，他们选择用《你不是真正的快乐》和《伤心的人别听慢歌》来宣泄内心压抑的情绪，表达自己的不快乐。五月天的歌，之所以能够一次次被传唱、被喜爱，是因为那一字一句都唱到了80后90后的心坎里，唱出了80后90后最真实的精神状态。喜欢五月天，是不忘记自己的理想与梦想，是不丢失内心最真实的自己。五月天就如同孙悟空一样，守护着粉丝与歌迷心中尚未崩坏的地方。现如今，粉丝不得不在冬日里呐喊：金多虾！疯狂世界里，我才是那个憨人。二、回看整个假唱风波，深究会发现对于五月天真唱假唱的争议绝非空穴来风。在B站up主麦田农夫实测五月天演唱会音轨之前，早已有听过演唱会现场的粉丝和歌迷对五月天的声音提出了质疑，这种质疑声甚至可以追溯到疫情前。粉丝觉得五月天有假唱的嫌疑，请up主从专业性角度鉴定。up主实测鉴定，发现确实存在假唱。假唱，不是半开麦不是垫音，而是彻彻底底的对口型。五月天欲盖弥彰的黑白讲，换来的是更多粉丝为证偶像的清白，晒出了更多实拍视频，却进一步证实了假唱。为了有力回击，五月天宣布巴黎演唱会直播，可频频翻车的真唱和到不了的10拍E6，不像是自证清白，反倒像公开处刑的自曝。如今，不单单是主唱假唱，甚至曝出了其他乐队成员假弹。冰冻三尺，绝非一日之寒。五月天演唱会现场假唱假弹，已不再是单一场次的临时性行为，而是固定曲目假唱、一首歌里真假混唱、有计划有预演的长期行为。再一步步深挖之下，一场蓄谋已久的惊天大谎渐渐浮出水面。三、一年60场演唱会，在内地年吸金超30亿，连一个小小的官方应援棒都能卖出几千万业绩。看似疯狂的金额，其实大家都懂，疫情三年连五月天这样的明星乐队都饿趴了。不管是三年掏空了腰包，还是为此前签下的合同疯狂填坑，开演唱会赚钱这事它并没有错。你想赚钱，我想见你，本就是双赢。疫情三年的跨年夜，哪个粉丝不是蹲在电视前、电脑前，甚至捧着手机，跟着五月天一起唱歌、一起倒数。三年一场未开，还送上三场跨年演唱会，那空荡荡的体育馆，那座位上一根根排列整齐的应援棒，谁不想立刻插上翅膀飞到现场？不肯承认假唱，不仅仅是碍于被捧上神坛的偶像包袱，碍于好面子的大男子主义，更重要的是不愿意假一赔三。因为你们知道，真的赔不起。不管是台上的五月天，还是台下的工作人员，亦或是在幕后的经纪公司、主办方宁愿捂紧装满钱的钱袋子，宁愿开直播翻车连连，也要联合起来装作纯真疯狂开演唱会。哦不，如今的演唱会没有了唱，只剩下演。你们曾说“快乐很伟大”，想与我们一起高唱《笑忘歌》。现在的你们，只相信金钱才是第二人生的DNA。四、假唱并非不可原谅，不真诚才是最大的伤害。今年遍地都在开演唱会，唯独五月天最火热，甚至北京演唱会一票难求到官方都下场要求强实名。为什么五月天的演唱会这么火爆？熟悉五月天的粉丝一定不会忘记，五月天是怎么火的。没错，当年那个跑街头和校园巡演而火遍全国的五月天，靠的是他们超强的现场感染力，靠的是他们一首首歌声中的真挚。以前的演唱会，是短暂离开地球表面的快乐，是与五月天一起私奔到月球的放肆。如今的演唱会，是一张用谎言和虚伪精心编织的巨网，高举着青春和热血、想念和感动，等着粉丝歌迷自投罗网。你们嘴上说着“好好好想见到你“，要用一场完美的演唱给粉丝最美好的回忆。可完美不代表可以作假，不完美也不意味着不美好。花五百去伍佰的演唱会唱伍佰的歌给伍佰听，在状况频出的薛之谦“单口相声”演唱会上喊“退票”，哪怕是唱不上《离歌》高音的信（苏见信）、嗓音几乎嘶哑的汪峰，哪个粉丝又在乎这歌到底唱得完不完美呢？去他丫的完美！谁的人生是完美的？不完美的我又何需粉饰？五、这场假唱风波中最受伤的不是粉丝歌迷，也不是主办方，反而是五月天。无论官方最终的定论是真唱还是假唱（当然现在谁都知道真假），一个顶级乐队的专业度还能弥补回来，可丢失了信誉，就已经将撕开五月天高傲的外衣、拉下了华语音乐的神坛。我身边许多喜欢五月天的粉丝，知道五月天假唱后并没有表现出反感、痛恨，相反更多是惋惜和恨铁不成钢。惋惜的是五月天不自惜羽毛，不珍惜为了今天曾经付出的巨大努力和汗水。恨铁不成钢的是在这场公关危机下明明有更好的处理方式，偏偏选择了“死要面子活受罪”，硬生生把自己逼上了无法挽回的绝路。年少时的不服输、不认错，还叫倔强。即将知天命之年，还不服老、不认错，那只会令人抓狂。人要学会成长、要学会面对现实，成熟的一点就是接受自己的不完美和老去。所谓的大男孩，也不是常年靠留着鬓角过耳的长发、穿着大风衣、脚踩马丁靴就能叫做少年感的。真正的少年感来自的是内心对于生活的热爱、对于他人的真诚和对未来的憧憬。做好伪装、满脸奉承，那是被生活重压之下成年人才会用的招数啊！当五月天学会了伪装，就已经跟粉丝和歌迷脱离开了。听着五月天长大的80后、90后，面对眼前压力重重的生活不是伪装、不是奉承，而是选择摸鱼和躺平。当下的五月天和粉丝歌迷，就是青春疼痛文学遇上了躺平主义，就像原来争上游的鱼选择直接跳进油锅任人煎炸。若如B站up主刘二副所说的那样，公关声明说自己在辛苦工作之时摸摸鱼、伤病之身还要坚持上班，透露着几分打工人的无奈，不就拉近了粉丝歌迷的距离。粉丝歌迷看到台上也会英雄迟暮的偶像，不由得潸然泪下、缅怀自己逝去的青春。谁还不同情？谁还会喊着“退钱”？谁不争着抢着买你下一场演唱会的门票啊！！！,-1,0,3,2023-12-12 10:24:42
房山季鸟侯罢了,-1,0,0,2023-12-12 10:07:27
假唱算啥？只是门槛更高的假弹没有被人发现而已https://www.zhihu.com/video/1717719565436526592,1,0,2,2023-12-12 01:37:42
    五月天日前遭内地音乐网红麦田农夫爆料，表示经过计算机程序鉴定后，发现五月天的上海演唱会有5首歌曲疑似是对嘴假唱，指控他们在演唱会上疑「假唱」。事件持续发酵，为以证视听，五月天将香港时间12月8日凌晨的巴黎演唱会改为直播，吸引了6万多粉丝观看。主唱阿信为证明自己真唱，在演出过程中多次嘶吼飙唱兼激动跪地。阿信在歌曲有难度的地方几乎每句都有不准和破音，但整体效果都对得起粉丝花的钱。值得留意的是，阿信于12月6日在微博发文提到「每次唱这足10拍E6的高音，总是跪足捶地，仿佛如此，才能跟自己确认，抵达了至高的山巅。当然，每次的嘶吼，每一场，每一声，都来自于我依赖了24年的嗓子。除了真唱，否则没有其他感动你的方式。」，究竟E6高音究竟是什么？阿信所提及的E6高音，大约在1500Hz左右，相当于钢琴上的最高音。由于是极高音，所以歌手唱到E6的难度是非常高的，更需要歌手具备非常优秀的嗓音条件和歌唱技巧才能唱得到。而过去阿信曾试过在演唱会中唱出E6高音时，谷到全脸通红，不是专业人士请勿轻易尝试。今次的巴黎演唱会，阿信没有上到E6高音，有网民表示就算今次演唱会是真唱，因为阿信多次走音，但并不代表过去没有「假唱」，更有人表示：「阿信唱的确实费劲，很多破音、走调，所谓的E6也并没有唱上去……太难听了。」、「他演唱会如果不假唱真没法听。」、「阿信走音才正常，一场下来不走音才有猫腻，所以这场真唱的直播，几乎就是证实过去那些蹦蹦跳跳还不走音的就是假唱。,1,0,0,2023-12-11 21:42:07
去听了现场，毕竟票是在出丑闻前买的。现场感觉，真的很吃力，很多高音第一遍大一口气唱上去了，在破音的边缘游荡，但是第二三遍的时候就把话筒递给我们观众了。不过不是50几岁了么，也可以理解。不过估计假唱这事儿就是罗生门了，他们也不太可能承认的，承认就是自绝死路。但是现场还是有好多歌迷，手举“相信”的文案支持他们，我感觉有点尬，好吧不理解。不过聊天的时候五月天还是蛮有幽默感的，被逗笑很多次，最搞笑的cue自己最近在微博上都要被骂死了。怪兽还是玛莎说唱两遍恋爱ing的话是真的要哭了。还有一首歌调很高，阿信真的拼了老命高上去的时候，下面有个老哥大喊一声：牛逼！  哈哈哈简直爆笑。,-1,0,0,2023-12-11 20:01:02
为了打破假唱“谣言”，五月天在法国巴黎的演唱会在线上全程直播了。从流出的几段现场视频看，走调、破音、气息不稳的现象贯穿始终，而且有些地方似乎还是能听到一些垫音，不过大部分应该都是真唱了。可是跟上海演唱会不同的是阿信在巴黎演唱会上变成“站桩式”输出了，被网友质疑的“大摆锤”也变成“小摆锤”了，话筒跟粘在嘴上一样根本不敢拿开。所谓的“高音”也是一个没上去，说好的“E6”也没唱到。咋地，阿信，你这唱功还有地域限制么？一出国就被封印了？这种灵异事件你自己都没法解释吧。演唱会后你还发文说“谢谢每个你”，你真的应该好好谢谢你的粉丝，没有他们你早就被曝光了。我前两天出了一期讨论五月天疑似假唱的视频，有一个粉丝来我评论区留言。他说他其实早就猜到五月天会假唱了，因为连续开了那么多场，没有几个人能受得了，不假唱就有鬼了。他一直就是抱着能接受五月天假唱的态度来看的演唱会。其实粉丝最清楚偶像是什么样的人了，但是因为爱，很多时候都选择自欺欺人。因为爱，他们愿意花几百几千去听偶像的“半开麦”演唱会；因为爱，他们会去买那个售价140实际成本可能连50块钱都不到的荧光棒。可是阿信你对你的粉丝真诚么？你明知道自己的嗓子是承受不了连续6场甚至8场的演唱会的，可是你为了钱还是要去唱，嗓子不行了就用所谓的“半开麦”来掩盖。你要是想少唱点，就少开几场行不行。又想少唱，又不想少赚，可不就得“偷工减料”了么？挣钱不寒碜，可是你们卖“假货”挣钱就很寒碜。你们乐团的定位可是“摇滚乐团”啊，可是你现在的所作所为还符合摇滚精神么？不过从这个“唯利是图”的角度来看，我倒是理解他为啥死不认账了。最近看了很多律师的分析，我们国家的营业性演出条例中，对于“假唱”的处罚是有规定的，大概有三项。第一项：首次发现假唱会先向社会公示，再次被发现就会吊销演出许可。第二项：罚款5-10万不等。第三项：消费者可以要求举办方退一赔三。第二项对他来说还没啥，几万块钱嘛，九牛一毛。可是另外两项可就要了他的命了。五月天这次丑闻也算是给娱乐圈又敲响了一记警钟，若要人不知，除非己莫为。只有保持对舞台的敬畏，对观众的真诚，沉下心来打磨唱功，不断输出硬核作品，才会获得大家长久的喜爱，名利自然也就源源而来了。,0,0,3,2023-12-11 16:54:41
有没有假唱我都懒的关心，我是觉得作为主唱他唱功是真的很差，也就是KTV级别。。他假唱是要钱，真唱是要命。。。你只要仔细听听，对比一下其他歌手就能知道，完全不需要你有专业的声乐知识。五月天有不少首歌还是不错的，但也只是旋律不错，歌词也还挺不错的，但这个主唱的演唱实力真的不敢恭维。估计录音师专辑估计都是请的百万修音师，然后才能勉强把歌录的像样一点。很多音评人都不喜欢他们，但是之前没有人敢批，这一次持续好多天了。 五月天的这一次的回应也是绝了，还说出自己能唱10拍E6的话，说明这主唱真的是打酱油了这么多年，连基本的乐理声乐知识都不咋了解的。。。,1,2,3,2023-12-11 15:30:39
我不是他歌迷，也不是专业的，这事也属于吃瓜的进去看。实话说，那个E6有没有达到真的不知道，但是，仅仅直观感觉：不好听！！！,1,0,1,2023-12-11 15:01:07
还是有很大不同的。比如在巴黎五月天就出现了音道撕裂的情况。,-1,0,0,2023-12-11 14:59:58
巴黎这场才叫垫音。而且有的地方相当于ktv开了伴唱，有些地方相当于ktv直接开原唱。好在话筒是有声的，能听见他的现场含糊走调的声音。上海那场，那就是放cd，或者表演唱歌。,1,0,0,2023-12-11 12:27:22
我想知道维护他的歌迷得到了什么啊，是不是像是我知道你是渣男，但渣男滥情给的糖实在是甜，爱，歌迷缺爱，我想了半天唯一答案，那就算了吧，反正要爱，什么方式从哪来的有什么关系。手动狗头保命脑袋又转了一下，喜欢的是当年爱五月天的自己，不肯放下的也是自己，啊哈哈哈，我快感动自己了 ～,0,0,1,2023-12-11 11:30:17
建议陈信宏改名阿宏，因为没有诚信,1,0,0,2023-12-11 11:18:19
请大家注意，巴黎真唱不代表以前没有假唱，五月天的核心问题还是之前的演唱会假唱，不要被转移视线,-1,0,1,2023-12-11 10:33:16
有点儿像我大学第一次跟着室友去夜跑。我边跑边说话，他就闷头跑，偶尔从鼻腔挤出来：嗯。跑之前，我以为我130斤，高中校园运动会400米进过决赛，怎么着也比他快200斤能跑。结果跑两圈就不行了。他多跑了两圈，还没跑过瘾，嫌弃地带着我回宿舍了。,1,0,2,2023-12-11 10:32:29
建议别看垃圾的网站的新闻,1,0,0,2023-12-11 09:27:39
你到一个特级厨师店里吃饭，上来的菜都是提前三天做好的，然后告诉你，提前做好的菜完美无瑕，现做可能发挥不好。你能接受吗？,-1,0,0,2023-12-11 09:15:31
有大佬顺路解答一下我的疑问吗？五月天巴黎演唱会，是在唐人街吗？现场观众外籍人士多吗？,1,0,1,2023-12-11 02:19:24
赛博朋克摇滚之神五月天，用真唱实锤之前全是假唱。我不是五迷，但是也听了好多年五月天的歌。巴黎演唱会和之前上海演唱会的诸多现场视频我这几天刷了个遍，真的，差别太大了。巴黎演唱会都快发挥成KTV唱功了。我没有五迷那么好的心态，调侃之余，我删了播放列表里所有五月天的歌，并且大概率不会再听/唱他们的歌。因为吃相实在是太难看了，假的太多，太过分了。然后终于真唱了的时候，又暴露了真不咋地的唱功。作为歌手，吃的就是唱歌这碗饭，保养声带，练习唱功，这就是你这个职业的一部分，做不好这些事，可以说是职业度不够，粉丝们依旧会买单，但是做不好这件事的同时用造假来假装自己做好了，还造着假心安理得的赚钱，这让人该怎么看待呢？不是说完全不接受假唱，但你假的太过分了，假到了已经完全没有什么职业道德可言的程度了，这种假还能接受的那些五迷，我反正是无法理解他们。我其实还蛮喜欢他们的很多歌的，可一旦我知道他们是这么个品行的时候，对那些歌的喜欢就变得滑稽又可笑了。,1,0,0,2023-12-11 00:06:13
就巴黎这样的真唱，再连开八场试试。,1,0,0,2023-12-10 18:24:16
来一个非专业的解读吧相当于周杰伦被指一张专辑全抄袭 然后周说8小节才是 7小节没有  来一几百字的小作文最后 我直播写歌 然后写出了一个学猫叫的同时不知道吉他的6级是什么,-1,0,0,2023-12-10 18:23:29
压热度了吧。。。。。我看这个话题基本都是几百万的浏览量，反而没热搜，现在热搜榜上第一也就几十万流量。。。热度差太多,-1,0,0,2023-12-10 18:05:47
我还是喜欢他蹦蹦跳跳的样子,-1,0,0,2023-12-10 12:34:37
大摆锤怎么变小摆锤了？之前就离谱，最怕的就是把自己都骗过去了。,0,0,0,2023-12-10 11:11:38
原告举示的证据却证明了被告的观点合理。,1,0,0,2023-12-10 08:56:00
坏消息：确实唱得不咋地了。好消息：证明演技确实一流。其实主唱变主演，不影响赚钱的，只是唱歌时就别演了行不？,1,0,0,2023-12-10 08:51:57
其实还行吧，普普通通的水准，不要为黑而黑。有一说一，华语乐坛（欧美听的不太多，反正黄老板live跑的挺厉害，虽然挺好听的，但拿较音器一个一个对那肯定跑得厉害）一般流行歌手的live哪个能听啊，不都是坑坑巴巴气息乱飞。非要跟录音棚比较，那只能说除了学友这种级别的唱将，都跑调。而且你得考虑歌曲难度问题，阿信把歌写这么难，跑个调不也很正常，他自己本来也不是一个唱功为长的歌手。即使是jj这种顶级唱功，你一句一句扒那也是一堆瑕疵，只不过我们不这么搞，因为没意义，也不重要，总体听感还不错。而且jj也确实没假唱，从这个角度讲，五月天被喷喷也不愿，反正你干了钱也赚了还不能让人喷了。至于KTV歌手，还是洗洗睡吧…90%的KTV麦霸在校园开放麦唱的比牛叫都难听，别出来碰瓷了,1,0,1,2023-12-10 02:08:43
五月天这场甚至不如我发挥的好的时候唱得好……,1,0,0,2023-12-09 23:56:05
如果阿信这次以后真回去练习唱功变成了技术流，我还反而不适应，一想到炫技和各种颤音的阿信我就害怕，五月天的歌还真是只有阿信跑调唱法才有感觉。,1,0,0,2023-12-09 23:49:37
五月天阿信一到店，所有喝酒的人便都看着他笑，有的叫道，“阿信，你又假唱了吧！”他不回答，对柜里说，“温两碗酒，要一碟茴香豆。”便排出九张红票。他们又故意的高声嚷道，“这些钱都是假唱骗粉丝挣来的钱吧！”阿信睁大眼睛说，“你怎么这样凭空污人清白……”“什么清白？我们都在网上看到了软件分析，你现场唱的跟CD里一模一样，现场live还能是实时修音吗？”阿信便涨红了脸，额上的青筋条条绽出，争辩道，“我那是半开麦，没有全程放CD，说唱圈都是这么玩，半开麦算不得假唱”，接连便是难懂的话，什么我能开演唱会已经是“粉丝福音”，什么抓紧利用情怀“收割韭菜”之类，引得众人都哄笑起来，店内外充满了快活的空气。,1,1,21,2023-12-09 23:42:21
还不如去听华晨宇做法,1,0,0,2023-12-09 22:27:06
其实我看到他翻车还有些兴奋。多年前我就说五月天主场唱功很差，现场状态起伏大。但得益于早些年网络媒体不发达，负面信息不易传播，他们慢慢走上了神坛，而且摇滚流行通吃。假唱事件爆发前这样说肯定要被粉丝和不明真相的网友喷死。好在如今网络媒体发达了，旧时代的那些神们，有些更进一步封神，有些堕下神坛，像漏了腚的猴子。,-1,0,6,2023-12-09 22:09:28
不评价哈哈哈哈哈哈,-1,0,0,2023-12-09 21:47:39
公关鬼才：巴黎这场不但印证了国内是假唱，还上升到国内外不一致的双标，专骗国人的高度，不得不服气啊,1,1,0,2023-12-09 21:37:10
常看吃播的朋友一定还记得一个上古网红，阿强。当年火起来就是靠的“大胃王”设定但后来随时时间推移，大家都发现他的视频剪辑痕迹很重，只拍进嘴不拍吞咽，只有咀嚼享受，但是从没有一镜到底（张艺谋：是不是很大胆.jpg）后来他是怎么被网友实锤造假的呢？也很简单，他出了个所谓的一刀未剪自证视频：结果第一次试图自证，在视频里直接吐了出来，吐到垃圾桶之后还心虚地看了一眼镜头，在后期剪辑疏漏下直接发了出来，被观众的问号弹幕淹没，第二天赶紧用剪辑过的版本替代；第二次试图自证就更有意思了，五包泡面，根本没有煮，就着面饼啃，因为这样可以少一些水，但就这样最后也是很勉强地吃完了五包。最后你说他证明了自己能吃五包方便面了吗？证明了你说这个自证视频有什么作用吗？更大的作用恐怕就是实锤了他原来轻松写意狂吃各类食品，真的就是剪辑的结果了吧。,1,7,93,2023-12-09 20:41:42
给大家介绍一个乐队。飞轮海。飞轮海当初是被力捧的音乐组合，力捧到什么程度呢？当时，或者说至今为止最牛逼的女团，SHE一起出歌。那时候火的啊。然后，然后就出事故了，演唱会灾难级发挥。【飞轮海车祸现场视频完整版，《我有我的young》-哔哩哔哩】 https://b23.tv/XMhzxwH有一说一，又跳又唱真的很难，飞轮海走的纯粹韩版男团路线。但是，没有韩国那种培训真的很难。所以说，一场演唱会从头到尾气息稳定的，你一个人唱歌，不蹦不跳能做到的都是真神了。,1,36,114,2023-12-09 18:19:35
可以欣赏他们创作的歌，但假唱事件出来后，我想没必要去欣赏他们的演唱会。就事论事，有的人就是学不会这点，以为说了他们演唱会假唱这件事就不能听他们写的歌一样。大可不必抱着“可是他们的歌就是好听啊，所以我得维护他们，坚信他们没有假唱”这种信念，没有意义,-1,0,0,2023-12-09 17:43:35
我觉得他可以在挑战下联系直播8场，只有8场全部结束且唱跳rap都没有问题，我才会相信他,1,0,0,2023-12-09 16:03:37
我要是他们就冷处理，然后狠狠收割喜欢氛围无所谓假唱不假唱的粉丝一样赚的美滋滋,1,0,0,2023-12-09 15:13:49
听说五月天涉嫌假唱的新闻，第一反应是，有必要吗？这个乐队唱功那么烂，有谁听五月天是为了听唱歌的啊。不知道我说什么的可以去看看五月天出道时的现场，真的是屎一样，但这又怎样，这可是五月天啊，谁会不喜欢五月天呢。一直觉得他们并不单纯算音乐人，五月天更像是一个文化符号。代表着一种年轻人精神分裂的混沌世界，文艺，矫情，叛逆，毫无主见，又有些中二，他们的火就特别像台剧里那句“你们不要再打了啦”“要打也去练舞室打啊”，乍一看好像没什么逻辑，但你仔细想想，确实是没有逻辑，生活就是这样的无厘头，我们看剧又不是为了看跳舞，但他们就是演着演着开始跳舞了。这也太傻了，但你我谁不是傻狗啊，看有人傻的那么真诚，我们似乎真的就被感动了，然后我们就忘了，原来他们一开始不是来跳舞的啊。观众当然可以忘，但演员自己不能忘啊。阿信唱歌很烂，这事谁不知道，你们就大大方方的跑调、破音就好了，去演唱会的人本来也不期待在现场听到什么好听的歌声，何必要假唱，只要你真诚，你可以靠跳舞靠玩尬感动很多人，要是不真诚，人们可就要把注意力放到你的音乐素养上了，那样观众就会突然想起来，原来你不是来跳舞的啊，这也太好笑了。,1,0,1,2023-12-09 14:22:55
虚假的老五迷：我家哥哥一直没假唱！巴黎场明明和上海的一样！真正的老五迷：巴黎场唱的真不好听，并且能分辨出以前假唱场次用的是哪一个版本的音源。,1,1,2,2023-12-09 14:01:43
突然想起另一个叫信的，“死了都要爱”,1,0,0,2023-12-09 13:45:21
国内很多公司把优等品出口，次品留给国人，比如某酸菜。没想到唱歌也是一样的，在他们看来国人只配享受假唱。,1,0,0,2023-12-09 13:30:41
演唱会就是粉丝经济，一堆不相干的人非要说人假唱。就像人美美吃了一顿大餐，你非要说里面的苍蝇被吃到肚子里了，何必呢？,-1,0,1,2023-12-09 13:12:18
我以为梁欢已经说的足够多了，但是互联网没有记忆，这么多年过去了，想不到五月天演唱会又上热搜。https://www.zhihu.com/question/633316893/answer/3318049662?utm_psn=1716804352197652481前些年上网的人应该知道梁欢曾经一直打假，呼吁不假唱，并且说陈信宏现场唱的不行。但是出于严谨，没有调查就没有发言权，我当年没有表态。这么多年过去了，没听说五月天有什么新歌，倒是演唱会假唱上热搜。心情复杂。也许是一直没有长进吧。现场唱的不好，的确可以找原因。可是作为演艺生涯比同行长的多的人，应当努力让自己的嗓子寿命长一些。比如说我经常表扬的周深，张杰，林俊杰就做的很好。倒不是说只有他们唱的好，是比较有参考价值。所以说，道德还是用来自律的，他律就很难搞，有的人就是摆烂，你能拿他怎么样？,1,7,41,2023-12-09 13:01:05
他们并不是为了证明自己之前是真唱，而是在这里证明他们还有能力真唱，作为一个歌手或者是乐队，如果被外界认为没有能力再去live的话，基本上就代表他们职业生涯的结束。,-1,0,0,2023-12-09 12:41:47
现在不是阿信有问题是整个五月天都有问题,1,0,7,2023-12-09 12:24:45
我觉得五月天、李易峰、罗志祥有很相近的地方。就是很多老粉丝心里其实知道他们的问题，但是不愿意言明。赵晓卉说自己是追星女孩，追的就是五月天呀！她说自己演唱会唱那么大声，就是怕别人听出来阿信唱歌跑调，虽然是段子，也反应了实情，就是她那种铁粉也知道阿信唱功不咋滴。作为80后的路人，我是知道五月天这种天团有多火的，而且我也知道他们的唱功就是不咋滴，开演唱会，全开麦，撑不住，这玩意儿，正常智商在线的粉丝，心里都是有数的。我自己非常喜欢李易峰，但是他撞车的事情之后，我是能够意识到他不是好人的，只不过，我真的觉得他非常帅。在演艺圈，粉人品，那属于难为自己了。还有罗志祥，电动小马达名声在外，怎么可能是贞洁烈男。五月天肯定不会承认假唱。五月天唱跳的时候全开麦hold不住，这玩意儿就是现实，好有啥好说的呢？我真的不信有人粉五月天是因为唱功和人品。就像我粉李易峰也不是因为演技和人品一样。有的时候，追星就是一种感觉，一种氛围。,0,1,7,2023-12-09 10:53:22
这是e6？明明唱的是G8音,-1,0,3,2023-12-09 10:50:30
这没啥好解读的啊你这次不假唱 不代表你以前没有假唱啊 这么简单的问题有啥好掰扯的,-1,0,0,2023-12-09 10:48:11
